"The tax rule has been deleted.","杂费规则已经删除。"
"The tax rule has been saved.","杂费规则已经保存。"
"This class no longer exists","该类已不存在"
"This rule no longer exists","该规则已不存在"
"This rule no longer exists.","该规则已不存在。"
"Total","总计"
"Unit Price","单价"
"Whether catalog prices entered by admin include tax.","管理员输入的产品目录价格是否含税。"
"Whether shipping amounts entered by admin or obtained from gateways include tax.","管理员输入或从网关获得的运费是否含税。"
"Yes","是"
"You cannot delete this tax class as it is used for %d customer groups.","该杂费种用于%d客户组，不能删除 ."
"You cannot delete this tax class as it is used for %d products.","该杂费种用于%d商品，不能删除"
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","该杂费种用于杂费则中，不能删除，要先删除使用它的杂费则。"
"Zip/Post Code","邮编"
"Zip/Post is Range","邮编在范围内"
